County,2018,2019,2020,2021,2022,2023,2024
Barrow,64,30,39,33,39,59,74
Bartow,74,87,82,95,69,72,130
Bibb,121,110,136,158,173,146,178
Bulloch,38,42,37,59,45,31,67
Camden,79,61,54,63,54,28,58
Carroll,112,190,135,106,113,124,141
Catoosa,19,12,21,11,21,24,23
Chatham,374,443,419,435,436,412,790
Cherokee,226,340,408,672,329,197,318
Clarke,143,48,50,44,45,57,50
Clayton,685,762,654,434,554,544,785
Cobb,519,500,549,473,457,561,845
Columbia,56,38,52,30,43,60,186
Coweta,69,87,69,52,46,70,86
DeKalb,"1,329","1,207","1,210",906,942,"1,269","1,443"
Dougherty,142,124,101,100,124,111,145
Douglas,150,128,137,125,151,156,159
Effingham,50,56,66,56,53,56,128
Fayette,45,48,47,36,23,48,69
Floyd,95,105,115,107,102,144,140
Forsyth,61,48,63,66,48,64,98
Fulton,"1,242","1,235","1,188",917,"1,055","1,330","1,432"
Glynn,353,349,345,365,138,52,55
Gordon,54,50,47,43,56,73,57
Gwinnett,652,654,771,585,501,"1,062","1,143"
Hall,120,145,154,162,157,199,296
Henry,260,250,209,183,204,255,487
Houston,88,100,98,156,212,181,208
Jackson,52,15,23,34,34,33,42
Liberty,75,100,90,76,90,75,118
Lowndes,113,117,123,135,126,153,166
Muscogee,162,139,147,121,137,156,196
Newton,83,81,74,66,93,96,131
Paulding,89,80,105,91,102,84,170
Richmond,195,153,184,170,137,151,439
Rockdale,102,77,93,80,90,96,118
Spalding,62,75,69,59,66,63,114
Troup,67,60,41,29,68,81,109
Walker,36,23,22,23,23,31,35
Walton,76,44,41,37,48,50,45
Whitfield,60,71,84,75,88,103,90